date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:26	58200/58200	------	200	untouched ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:38%20GMT	http://buffetlumlua.com/	./dangquangminh/buffet_2/buffetlumlua.com/index.html	(from )
17:18:27	369617/369617	------	200	untouched ('')	image/jpeg	etag:%225a3d1-604c51300d224%22	http://buffetlumlua.com/upload/photo/z467103627779422670950eb5b5822e10ee07d33cf61da-3719.jpg	./dangquangminh/buffet_2/buffetlumlua.com/upload/photo/z467103627779422670950eb5b5822e10ee07d33cf61da-3719.jpg	(from http://buffetlumlua.com/)
17:18:27	503073/503073	------	200	untouched ('')	image/jpeg	etag:%227ad21-63123195cf43d%22	http://buffetlumlua.com/thumbs/1080x1080x2/upload/seopage/img20230907204419-1193.jpg	./dangquangminh/buffet_2/buffetlumlua.com/thumbs/1080x1080x2/upload/seopage/img20230907204419-1193.jpg	(from http://buffetlumlua.com/)
17:18:27	1021073/1021073	------	200	untouched ('OK')	text/css	etag:%22f9491-633bfa9ff98db%22	http://buffetlumlua.com/assets/caches/201dc2f53490ae9b45ddd7f5eb4d5311.css?v=1745748144	./dangquangminh/buffet_2/buffetlumlua.com/assets/caches/201dc2f53490ae9b45ddd7f5eb4d5311b34c.css	(from http://buffetlumlua.com/)
17:18:27	10900/10900	------	200	untouched ('')	image/png	etag:%222a94-6314bc8af0691%22	http://buffetlumlua.com/thumbs/144x144x1/assets/images/noimage.png	./dangquangminh/buffet_2/buffetlumlua.com/thumbs/144x144x1/assets/images/noimage.png	(from http://buffetlumlua.com/)
17:18:27	21129/21129	------	200	untouched ('')	image/jpeg	etag:%225289-6319ec7fcc843%22	http://buffetlumlua.com/thumbs/144x144x1/upload/photo/z467103627779422670950eb5b5822e10ee07d33cf61da-2918.jpg	./dangquangminh/buffet_2/buffetlumlua.com/thumbs/144x144x1/upload/photo/z467103627779422670950eb5b5822e10ee07d33cf61da-2918.jpg	(from http://buffetlumlua.com/)
17:18:27	1050/1050	------	200	untouched ('')	image/png	etag:%2241a-60484b2914e41%22	http://buffetlumlua.com/assets/images/img1.png	./dangquangminh/buffet_2/buffetlumlua.com/assets/images/img1.png	(from http://buffetlumlua.com/)
17:18:27	26570/26570	------	200	untouched ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:53%20GMT	http://buffetlumlua.com/gioi-thieu	./dangquangminh/buffet_2/buffetlumlua.com/gioi-thieu.html	(from http://buffetlumlua.com/)
17:18:27	41061/41061	------	200	untouched ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:54%20GMT	http://buffetlumlua.com/san-pham	./dangquangminh/buffet_2/buffetlumlua.com/san-pham.html	(from http://buffetlumlua.com/)
17:18:27	114549/114549	------	200	untouched ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:56%20GMT	http://buffetlumlua.com/album	./dangquangminh/buffet_2/buffetlumlua.com/album.html	(from http://buffetlumlua.com/)
17:18:27	23357/23357	------	200	untouched ('OK')	text/html	date:Sun,%2018%20May%202025%2006:50:58%20GMT	http://buffetlumlua.com/tin-tuc	./dangquangminh/buffet_2/buffetlumlua.com/tin-tuc.html	(from http://buffetlumlua.com/)
